paper,subject,year,question_text,option_a,option_b,option_c,option_d,correct_option,solution,explanation,is_active,order
paper-1,Teaching Aptitude,2024,"In learner-centered teaching, the teacher acts mainly as:",Lecturer,Facilitator,Examiner,Observer,B,"Learner-centered models use facilitation.","The teacher guides discovery and supports active learning.",true,1
paper-1,Reading Comprehension,2023,"A passage-based question is generally used to test:",Memory only,Interpretation and inference,Spelling speed,Typing skill,B,"Comprehension requires interpretation.","The candidate reads a passage and answers inference-based questions.",true,2
paper-2,Data Structures and Algorithms,2024,"Which structure is used by recursion?",Queue,Stack,Heap,Tree,B,"Function calls push frames on stack.","Recursion uses call stack frames for each active call.",true,1
paper-2,Database Management Systems,2022,"Which normal form removes transitive dependency?",1NF,2NF,3NF,BCNF,C,"3NF removes transitive dependency.","In 3NF, non-key attributes should not depend on other non-key attributes.",true,2
paper-1,Communication,2023,"Which of the following is an example of non-verbal communication?",Essay writing,Facial expression,Paragraph drafting,Email formatting,B,"Facial expressions communicate without words.","Non-verbal communication includes gestures, posture, eye contact, and facial cues.",true,3
paper-1,Mathematical Reasoning and Aptitude,2022,"Find the next number in the series: 2, 6, 12, 20, 30, ?",36,40,42,44,C,"Differences are +4, +6, +8, +10, so next is +12.","Adding 12 to 30 gives 42.",true,4
paper-1,Logical Reasoning,2021,"All roses are flowers. Some flowers fade quickly. Which conclusion is valid?",All roses fade quickly,Some roses are flowers,No flower is a rose,Only flowers are roses,B,"The first statement directly implies roses are flowers.","No relation is given between roses and fading quickly, so only direct implication is valid.",true,5
paper-1,Data Interpretation,2024,"A bar chart shows sales of 40 and 60 in two months. What is the percentage increase?",20%,40%,50%,60%,C,"Increase is 20 on base 40.","Percentage increase = (20/40) x 100 = 50%.",true,6
paper-1,Information and Communication Technology,2020,"Which protocol is commonly used for secure web browsing?",FTP,HTTP,HTTPS,SMTP,C,"HTTPS encrypts communication.","HTTPS uses TLS/SSL to secure data between browser and server.",true,7
paper-1,"People, Development and Environment",2023,"Which gas is primarily responsible for global warming?",Oxygen,Nitrogen,Carbon dioxide,Argon,C,"CO2 is a major greenhouse gas.","Increased atmospheric CO2 traps heat and contributes significantly to climate change.",true,8
paper-2,Discrete Structures and Optimization,2022,"In a simple graph with n vertices, the maximum number of edges is:",n,n-1,n(n-1)/2,2n,C,"Complete graph has the maximum edges.","For an undirected simple graph, max edges = n(n-1)/2.",true,3
paper-2,Computer System Architecture,2021,"Which unit performs arithmetic and logical operations in a CPU?",Control Unit,ALU,Cache,Bus Interface,B,"ALU performs arithmetic and logic.","The Arithmetic Logic Unit handles numeric and logical computations.",true,4
paper-2,Programming Languages & Graphics,2024,"Which principle allows multiple methods with the same name but different parameters?",Encapsulation,Inheritance,Polymorphism,Abstraction,C,"Method overloading is a form of polymorphism.","Polymorphism enables one interface with different implementations.",true,5
paper-2,System Software and Operating System,2022,"Which scheduling algorithm may cause starvation?",FCFS,Round Robin,Priority Scheduling,SJF (non-preemptive),C,"Low-priority processes can wait indefinitely.","Priority scheduling can starve lower-priority processes without aging.",true,6
paper-2,Software Engineering,2020,"Which testing checks interactions between integrated modules?",Unit testing,Integration testing,Alpha testing,Regression testing,B,"Integration testing validates module interfaces.","It focuses on data/control flow between combined units.",true,7
paper-2,Theory of Computation and Compilers,2023,"Which machine model is equivalent in power to modern computers for computability theory?",Finite automaton,Pushdown automaton,Turing machine,Regular expression,C,"Turing machine defines computability.","It is the standard abstract model for general computation.",true,8
paper-2,"Data Communication and Computer Networks",2021,"Which layer in OSI model handles routing?",Data Link,Transport,Network,Session,C,"Routing is a network-layer responsibility.","The network layer determines path selection and packet forwarding.",true,9
paper-2,Artificial Intelligence,2024,"A heuristic function in A* search is used to:",Store visited nodes,Estimate cost to goal,Guarantee optimality alone,Sort edges randomly,B,"Heuristic estimates remaining cost.","A* uses f(n)=g(n)+h(n), where h(n) estimates distance to goal.",true,10
