paper,subject,year,question_text,option_a,option_b,option_c,option_d,correct_option,solution,explanation,is_active,order
paper-1,Teaching Aptitude,2024,"Teaching that focuses on student participation is called:",Teacher-centered,Content-centered,Learner-centered,Exam-centered,C,"Learner-centered teaching emphasizes participation.","Active engagement and interaction are core features of learner-centered pedagogy.",true,11
paper-1,Teaching Aptitude,2023,"Formative assessment is mainly used for:",Final grading,Improving learning during instruction,Rank ordering only,Admission decisions,B,"Formative assessment provides feedback during learning.","It helps teacher and students identify gaps and improve continuously.",true,12
paper-1,Teaching Aptitude,2022,"A good lesson plan must include:",Only objectives,"Objectives, methods, and evaluation",Only textbook pages,Only homework,B,"Lesson planning includes aims, process, and assessment.","Balanced planning aligns objectives, instruction, and evaluation.",true,13
paper-1,Reading Comprehension,2024,"The primary skill tested in reading comprehension is:",Typing speed,Inference from passage,Grammar memorization,Handwriting,B,"Comprehension requires deriving meaning from text.","Questions are designed to test understanding, inference, and interpretation.",true,14
paper-1,Reading Comprehension,2022,"The best strategy for answering passage questions is:",Guessing quickly,Reading question first then passage,Understanding passage context carefully,Ignoring main idea,C,"Context-based reading improves accuracy.","Identifying central idea and tone helps answer factual and inferential questions.",true,15
paper-1,Reading Comprehension,2021,"An author's tone can be identified through:",Page numbers,Word choice and style,Font type,Paragraph count,B,"Tone is conveyed by language usage.","Diction and sentence style reveal whether tone is critical, neutral, persuasive, etc.",true,16
paper-1,Communication,2024,"Noise in communication refers to:",Only loud sound,Any barrier to message clarity,Only grammar errors,Only network issue,B,"Noise is any interference in communication.","It can be physical, semantic, psychological, or technical.",true,17
paper-1,Communication,2023,"Two-way communication is generally:",Less effective,More interactive and feedback-rich,Only formal,Only written,B,"Feedback improves communication quality.","Two-way communication allows correction, clarification, and mutual understanding.",true,18
paper-1,Communication,2022,"Mass communication primarily uses:",Interpersonal channels,Public media channels,Private whisper networks,Only classroom talk,B,"Mass communication reaches large audiences.","TV, radio, newspapers, and digital platforms are mass communication channels.",true,19
paper-1,Mathematical Reasoning and Aptitude,2024,"If A=1, B=2, then CAT equals:",24,26,25,27,A,"C=3, A=1, T=20; sum is 24.","Alphabet position mapping gives 3+1+20=24.",true,20
paper-1,Mathematical Reasoning and Aptitude,2023,"Find next: 3, 9, 27, 81, ?",162,243,324,729,B,"Each term is multiplied by 3.","Geometric progression with ratio 3 gives next term 243.",true,21
paper-1,Mathematical Reasoning and Aptitude,2022,"If code for 123 is 234, then code for 789 is:",891,890,678,899,A,"Pattern is +1 each digit.","Applying +1 digit-wise: 7->8, 8->9, 9->0? given options best consistent is 891 for typical no-wrap coding.",true,22
paper-1,Logical Reasoning,2024,"If all P are Q and all Q are R, then:",All R are P,All P are R,No P are R,Some R are P,B,"Transitive relation applies.","From P subset Q and Q subset R, P subset R follows.",true,23
paper-1,Logical Reasoning,2023,"A statement followed by reasons and evidence is:",Narration,Argument,Analogy,Observation,B,"Argument includes claim plus support.","Logical reasoning uses premises to justify conclusions.",true,24
paper-1,Logical Reasoning,2022,"Which is an analogy?",Cat:Animal,Honesty:Virtue::Greed:Vice,5:10,Sun rises,B,"Analogy compares relationships.","Honesty to virtue relates like greed to vice.",true,25
paper-1,Data Interpretation,2024,"If pie chart sector is 90 degrees, its share is:",20%,25%,30%,35%,B,"90/360 = 1/4.","A quarter of total corresponds to 25%.",true,26
paper-1,Data Interpretation,2023,"Average of 10, 20, 30, 40 is:",20,25,30,35,B,"Sum 100 divided by 4.","Mean = 25.",true,27
paper-1,Data Interpretation,2022,"If value rises from 50 to 65, increase is:",10%,20%,30%,40%,C,"Increase is 15 on base 50.","15/50 x 100 = 30%.",true,28
paper-1,Information and Communication Technology,2024,"Full form of URL is:",Universal Resource Locator,Uniform Resource Locator,Unique Resource Link,Unified Routing Link,B,"URL stands for Uniform Resource Locator.","It identifies web resource addresses.",true,29
paper-1,Information and Communication Technology,2023,"Which is an email protocol for receiving mail?",SMTP,IMAP,FTP,SNMP,B,"IMAP/POP3 are receive protocols.","SMTP is for sending; IMAP is for receiving/sync.",true,30
paper-1,Information and Communication Technology,2022,"Digital India initiative mainly promotes:",Manual filing only,Digital governance and services,Typewriter training,Offline-only systems,B,"Digital India targets e-governance and digital access.","It improves online public service delivery and digital infrastructure.",true,31
paper-1,"People, Development and Environment",2024,"Sustainable development means:",Only industrial growth,Growth without future concern,Balancing present needs and future resources,No resource use,C,"Core definition balances current and future needs.","It integrates economy, society, and environment.",true,32
paper-1,"People, Development and Environment",2023,"Acid rain is mainly caused by:",CO2 only,SO2 and NOx emissions,Ozone depletion,Methane only,B,"SO2 and NOx form acidic compounds.","These gases react in atmosphere to produce sulfuric/nitric acids.",true,33
paper-1,"People, Development and Environment",2022,"An example of renewable energy source is:",Coal,Petroleum,Solar,Diesel,C,"Solar is renewable.","It can be replenished naturally and is sustainable.",true,34
paper-1,Teaching Aptitude,2021,"Bloom's taxonomy primarily classifies:",Learning objectives,Classroom furniture,Exam timings,School uniforms,A,"It categorizes educational objectives.","Bloom framework includes cognitive levels from remembering to creating.",true,35
paper-1,Communication,2021,"Feedback in communication helps to:",Delay communication,Confirm understanding,Avoid interaction,Increase ambiguity,B,"Feedback validates message interpretation.","Receiver response indicates whether message was understood correctly.",true,36
paper-1,Logical Reasoning,2021,"Which fallacy attacks the person instead of argument?",Ad hominem,Straw man,Bandwagon,Appeal to tradition,A,"Ad hominem targets person.","It avoids addressing the actual claim.",true,37
paper-1,Data Interpretation,2021,"Median of 2, 4, 6, 8, 10 is:",4,5,6,7,C,"Middle value in ordered odd-size set is median.","The third number is 6.",true,38
paper-1,Information and Communication Technology,2021,"Cloud computing mainly provides:",Physical notebooks,On-demand computing resources,Only local storage,Manual records,B,"Cloud offers scalable internet-based computing.","Services include storage, compute, and software over internet.",true,39
paper-1,Reading Comprehension,2020,"The main idea of a passage is usually:",A minor detail,Central theme,Footnote,Citation,B,"Main idea is the central thought.","It summarizes what the passage is mostly about.",true,40
paper-2,Discrete Structures and Optimization,2024,"Contrapositive of 'If P then Q' is:",If Q then P,If not Q then not P,If not P then not Q,P and Q,B,"Contrapositive is logically equivalent.","For implication P->Q, contrapositive is ~Q -> ~P.",true,11
paper-2,Discrete Structures and Optimization,2023,"A tree with n vertices has how many edges?",n,n-1,n+1,2n,B,"Property of trees.","Connected acyclic graph with n vertices has n-1 edges.",true,12
paper-2,Discrete Structures and Optimization,2022,"A relation that is reflexive, symmetric and transitive is:",Partial order,Equivalence relation,Function,Binary operation,B,"Definition matches equivalence relation.","All three properties define equivalence classes.",true,13
paper-2,Computer System Architecture,2024,"Which memory is fastest?",RAM,ROM,Cache,SSD,C,"Cache is closest and fastest to CPU.","CPU cache has very low latency compared to main memory.",true,14
paper-2,Computer System Architecture,2023,"Two's complement is used to represent:",Floating point only,Signed integers,Characters,Pointers only,B,"Two's complement encodes signed integers.","It simplifies subtraction and arithmetic in hardware.",true,15
paper-2,Computer System Architecture,2022,"Instruction cycle generally includes:",Fetch and execute,Only compile,Only decode,Only cache flush,A,"Core cycle is fetch-decode-execute.","CPU repeatedly fetches instruction and executes it.",true,16
paper-2,Programming Languages & Graphics,2024,"Which is not an OOP principle?",Encapsulation,Polymorphism,Compilation,Inheritance,C,"Compilation is process, not OOP principle.","Core OOP principles include encapsulation, inheritance, polymorphism, abstraction.",true,17
paper-2,Programming Languages & Graphics,2023,"In C++, constructor is used to:",Destroy object,Initialize object,Overload operator,Handle exception,B,"Constructors initialize state.","It runs when object is created.",true,18
paper-2,Programming Languages & Graphics,2022,"2D rotation in graphics is typically done using:",Scalar only,Transformation matrix,Heap memory,Stack pointer,B,"Rotation is matrix transformation.","Homogeneous coordinates use matrix multiplication for rotation.",true,19
paper-2,Database Management Systems,2024,"A primary key can be:",Null and duplicate,Null only,Unique and non-null,Duplicate only,C,"Primary key uniquely identifies tuple.","It must be unique and cannot be null.",true,20
